Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,57.158,14.9,6210,3.17252946,5.354440212,9.501000404,0,4.427019443,598632.38,8404053.28,3184154.2
Guinea,GIN,Sub-Saharan Africa,Low income,2001,51.255,0,1570,4.88881445,2.081909895,4.552999973,0,0,401723,5920467.81,1616142.3
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,50.744,0,150,6.70832253,0,6.297999859,0,3.631962583,79755.03,878629.42,253405.84
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2001,53.581,0,3400,2.20352745,0,8.567000389,0,0,28479.78,374126.82,100976.4
Greece,GRC,Europe & Central Asia,High income,2001,78.38780488,2.5,96610,7.9878397,3.364579916,10.46000004,0,77.87126339,284568.09,125698.03,2884915.79
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,72.805,0,230,5.62456989,0,0,0,0,3069.93,4995.1,21038.35
Greenland,GRL,Europe & Central Asia,High income,2001,66.70926829,0,0,0,0,0,0,85.9105649,5097.63,1853.36,14704.85
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2001,68.304,22.2,9810,6.07015848,0,2.78399992,0,0,658385.59,2018747.83,1765489.94
Guam,GUM,East Asia & Pacific,High income,2001,75.373,0,0,0,0,13.21000004,0,0,4449.45,5431.42,27554.91
Guyana,GUY,Latin America & Caribbean,Upper middle income,2001,65.532,6.5,1640,3.05506778,8.397299767,11.81499958,0,0,48943.83,105443.35,169977.36
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,70.976,21.9,5800,5.92998314,0,4,0,40.75284943,350162.39,617053.8,1031647.06
Croatia,HRV,Europe & Central Asia,High income,2001,74.51292683,6.8,19200,7.2349987,0,15.81999969,0,77.92698976,191136.56,72998.69,1337533.5
Haiti,HTI,Latin America & Caribbean,Lower middle income,2001,57.382,50.7,1600,3.73088169,0,9.633000374,0,0,572400.72,2986337.32,1997697.96
Hungary,HUN,Europe & Central Asia,High income,2001,72.24878049,2.5,56280,6.82614756,4.931009769,5.670000076,0,63.58014119,486731.33,152435.99,3521823.54
Indonesia,IDN,East Asia & Pacific,Lower middle income,2001,66.037,19.2,302060,2.1185019,2.460030079,6.079999924,0,0,6996569.3,30881627.35,41520804.67
India,IND,South Asia,Lower middle income,2001,62.907,18.4,953540,4.26278114,0,5.576000214,0,7.847825482,54362219.04,268564609.8,192785014.4
Ireland,IRL,Europe & Central Asia,High income,2001,77.13414634,2.5,44820,6.39664602,4.087490082,3.680000067,0,55.44309298,105279.3,61994.06,897172.4
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,68.983,22.1,97550,0,0,8.80700016,0,33.4111699,1610734.59,3266448.4,4631994.74
Iceland,ISL,Europe & Central Asia,High income,2001,80.6902439,2.5,2160,8.78546429,6.705920219,1.870000005,0,43.87972331,6372.43,3218.11,55518.22
Israel,ISR,Middle East & North Africa,High income,2001,79.40731707,2.5,57950,7.20983076,6.373980045,11.81000042,0,80.57320446,176917.39,93001.57,1193383.71
Italy,ITA,Europe & Central Asia,High income,2001,80.12682927,2.5,436570,7.73760843,4.650090218,9.600000381,0,95.64344875,1447044.78,614698.09,15411336.84
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,74.139,7.4,10080,5.15652943,5.381030083,14.93000031,0,0,62811.49,153496,479581.12
Jordan,JOR,Middle East & North Africa,Upper middle income,2001,71.907,9.7,16250,9.58549213,0,14.69999981,0,75.52049492,138591.49,260138.98,723809.92
Japan,JPN,East Asia & Pacific,High income,2001,81.41707317,2.5,1170380,7.23947954,3.400820017,5.019999981,0,73.4801356,3740899.3,1971391.2,27958110.06
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,65.76,6.5,117440,3.47096992,0,10.43000031,0,0,1132464.17,999214.58,4461248.41
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,51.101,32.2,7610,4.80369139,5.206210136,2.989000082,0,0,796122.25,16737067.36,3793539.32
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,59.335,23.6,2150,7.01192331,1.722219944,1.032999992,0,0,575530.43,3831903.27,2432916.2
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,63.446,4.4,30,12.32934475,11.98812008,0,0,16.81369079,3943.14,19722.66,27856.04
Kuwait,KWT,Middle East & North Africa,High income,2001,73.21,2.6,53190,3.18838811,6.585830212,0.800000012,0,100,47194.38,37550.07,260456.02
Lebanon,LBN,Middle East & North Africa,Lower middle income,2001,74.999,7.8,16890,10.56592274,2.841480017,8.18599987,0,9.425466024,96063.15,156407.56,757768.34
Liberia,LBR,Sub-Saharan Africa,Low income,2001,52.236,36.6,450,3.49858928,0,2.128000021,0,0,127482.95,2142154.71,468017.27
Libya,LBY,Middle East & North Africa,Upper middle income,2001,71.038,0,44450,4.05162811,0,19.69599915,0,24.63226793,189689.18,224135.65,793357.98
Sri Lanka,LKA,South Asia,Lower middle income,2001,72.233,16.7,10850,4.19323874,0,7.900000095,0,0,1058850.45,875560.42,3538579.57
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,46.197,20,400,7.27745914,9.365050316,34.63499832,0,9.24941769,129978,1373764.09,360118.16
Lithuania,LTU,Europe & Central Asia,High income,2001,71.65853659,2.5,11150,6.01339579,5.84758997,16.84000015,0,79.99395432,281788.15,65951.41,1045815.65
Luxembourg,LUX,Europe & Central Asia,High income,2001,77.82439024,2.5,9120,6.410923,3.539730072,1.809999943,0,90.92752336,12963.49,5467.01,107770.41
